EXPERIMENTALCONDITION,PARTICIPANTID,COMPUTERID,EXPERIMENT,DPS,BLOCKDP,DP,ABSORDER,RELORDER,DATE,TIME,NDESCRIPTIVETRIALS,LEARNINGMODE,PREFERREDROUTE,CONTROLROUTE_C,TREATMENTROUTE_T,PREFERREDDIRECTION,CONTROLALTERNATIVE_C,TREATMENTALTERNATIVE_T,PREFERREDALTERNATIVE_T
descriptiveControl,75,A00,1,2,1,1,1,1,19072017,132814,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,75,A00,3,6,5,13,2,2,19072017,132823,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,75,A00,2,6,1,3,3,3,19072017,132836,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,75,A00,2,6,5,7,4,4,19072017,132846,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,75,A00,2,6,4,6,5,5,19072017,132855,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,75,A00,3,6,2,10,6,6,19072017,132908,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,75,A00,3,6,1,9,7,7,19072017,132915,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,75,A00,2,6,3,5,8,8,19072017,132923,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,75,A00,1,2,2,2,9,9,19072017,132929,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,75,A00,3,6,4,12,10,10,19072017,132935,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,75,A00,3,6,3,11,11,11,19072017,132940,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,75,A00,2,6,6,8,12,12,19072017,132948,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,75,A00,3,6,6,14,13,13,19072017,133000,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,75,A00,2,6,2,4,14,14,19072017,133006,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,74,F00,3,6,3,11,1,1,19072017,122639,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,74,F00,3,6,2,10,2,2,19072017,122648,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,74,F00,2,6,4,6,3,3,19072017,122653,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,74,F00,3,6,5,13,4,4,19072017,122657,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveTreatmentCondition1,74,F00,1,2,2,2,5,5,19072017,122702,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,74,F00,3,6,1,9,6,6,19072017,122708,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,74,F00,2,6,1,3,7,7,19072017,122712,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,74,F00,2,6,5,7,8,8,19072017,122717,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,74,F00,2,6,3,5,9,9,19072017,122720,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,74,F00,3,6,4,12,10,10,19072017,122725,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,74,F00,3,6,6,14,11,11,19072017,122731,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,74,F00,2,6,6,8,12,12,19072017,122735,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,74,F00,1,2,1,1,13,13,19072017,122737,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,74,F00,2,6,2,4,14,14,19072017,122739,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,73,C00,3,6,3,11,1,1,19072017,121309,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,73,C00,2,6,1,3,2,2,19072017,121326,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,73,C00,3,6,2,10,3,3,19072017,121330,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,73,C00,3,6,6,14,4,4,19072017,121342,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,73,C00,2,6,5,7,5,5,19072017,121348,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveControl,73,C00,3,6,4,12,6,6,19072017,121358,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,73,C00,3,6,5,13,7,7,19072017,121403,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,73,C00,3,6,1,9,8,8,19072017,121405,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,73,C00,1,2,1,1,9,9,19072017,121410,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,73,C00,2,6,6,8,10,10,19072017,121412,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,73,C00,2,6,4,6,11,11,19072017,121414,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,73,C00,2,6,3,5,12,12,19072017,121425,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,73,C00,2,6,2,4,13,13,19072017,121429,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,73,C00,1,2,2,2,14,14,19072017,121431,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,72,B00,2,6,3,5,1,1,19072017,123130,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,72,B00,1,2,1,1,2,2,19072017,123137,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,72,B00,3,6,6,14,3,3,19072017,123152,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,72,B00,2,6,4,6,4,4,19072017,123156,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,72,B00,2,6,1,3,5,5,19072017,123201,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,72,B00,3,6,2,10,6,6,19072017,123209,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveTreatmentCondition1,72,B00,3,6,4,12,7,7,19072017,123213,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveTreatmentCondition1,72,B00,2,6,6,8,8,8,19072017,123219,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,72,B00,1,2,2,2,9,9,19072017,123224,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,A,B,A
descriptiveTreatmentCondition1,72,B00,3,6,3,11,10,10,19072017,123227,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,72,B00,2,6,2,4,11,11,19072017,123231,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveTreatmentCondition1,72,B00,3,6,1,9,12,12,19072017,123234,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,72,B00,2,6,5,7,13,13,19072017,123238,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveTreatmentCondition1,72,B00,3,6,5,13,14,14,19072017,123243,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,71,A00,3,6,5,13,1,1,19072017,124135,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,A,B,B
descriptiveControl,71,A00,2,6,3,5,2,2,19072017,124152,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,71,A00,1,2,2,2,3,3,19072017,124200,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,71,A00,3,6,6,14,4,4,19072017,124240,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,71,A00,3,6,1,9,5,5,19072017,124251,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,71,A00,2,6,1,3,6,6,19072017,124258,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveControl,71,A00,3,6,2,10,7,7,19072017,124308,4,halfRandom,treatment,clockwise,counterclockwise,counterclockwise,B,A,A
descriptiveControl,71,A00,1,2,1,1,8,8,19072017,124316,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveControl,71,A00,3,6,4,12,9,9,19072017,124325,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,B,A,A
descriptiveControl,71,A00,2,6,4,6,10,10,19072017,124334,4,halfRandom,control,clockwise,counterclockwise,clockwise,B,A,B
descriptiveControl,71,A00,2,6,6,8,11,11,19072017,124342,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,71,A00,2,6,5,7,12,12,19072017,124347,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,71,A00,3,6,3,11,13,13,19072017,124416,4,halfRandom,treatment,counterclockwise,clockwise,clockwise,A,B,B
descriptiveControl,71,A00,2,6,2,4,14,14,19072017,124421,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
descriptiveTreatmentCondition1,70,C00,1,2,1,1,1,1,19072017,103955,4,halfRandom,control,clockwise,counterclockwise,clockwise,A,B,A
descriptiveTreatmentCondition1,70,C00,2,6,6,8,2,2,19072017,104002,4,halfRandom,control,counterclockwise,clockwise,counterclockwise,B,A,B
