EXPERIMENTALCONDITION,PARTICIPANTID,COMPUTERID,EXPERIMENT,DPS,BLOCKDP,DP,ABSORDER,RELORDER,DATE,TIME,SIMULATEDDAY,DESCRIPTIVEDAY,TYPETRIAL,LEARNINGMODE,ALTERNATIVE,ROUTE,DIRECTION,CONTROLROUTE_C,TREATMENTROUTE_T,WAITING,TRAVEL,JOURNEY
descriptiveTreatmentCondition1,74,F00,3,6,3,11,1,1,19072017,122622,5,1,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,6,6,12
descriptiveTreatmentCondition1,74,F00,3,6,3,11,1,1,19072017,122622,5,2,descriptive,halfRandom,A,control,counterclockwise,counterclockwise,clockwise,2,6,8
descriptiveTreatmentCondition1,74,F00,3,6,3,11,1,1,19072017,122622,5,1,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,4,8
descriptiveTreatmentCondition1,74,F00,3,6,3,11,1,1,19072017,122622,5,2,descriptive,halfRandom,B,treatment,clockwise,counterclockwise,clockwise,4,8,12
descriptiveTreatmentCondition1,74,F00,3,6,2,10,2,2,19072017,122639,5,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,3,6,2,10,2,2,19072017,122639,5,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,4,6,10
descriptiveTreatmentCondition1,74,F00,3,6,2,10,2,2,19072017,122639,5,1,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,4,4,8
descriptiveTreatmentCondition1,74,F00,3,6,2,10,2,2,19072017,122639,5,2,descriptive,halfRandom,B,control,clockwise,clockwise,counterclockwise,4,8,12
descriptiveTreatmentCondition1,74,F00,2,6,4,6,3,3,19072017,122648,2,1,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,8,2,10
descriptiveTreatmentCondition1,74,F00,2,6,4,6,3,3,19072017,122648,4,2,descriptive,halfRandom,A,treatment,counterclockwise,clockwise,counterclockwise,8,2,10
