EXPERIMENTALCONDITION,PARTICIPANTID,COMPUTERID,EXPERIMENT,TYPE,DPS,BLOCKDP,DP,ABSORDER,RELORDER,DATE,TIME,LEARNINGMODE,NLEARNINGTRIALS,NEXTRALEARNINGTRIALS,NTOTALLEARNINGTRIALS,NCONSEQUENCETRIALS,NTOTALTRIALS,RANDOMORIGIN,RANDOMDESTINATION,PREFERREDROUTE,CONTROLROUTE_C,TREATMENTROUTE_T,PREFERREDDIRECTION,CONTROLCOLOR_C,TREATMENTCOLOR_T,PREFERREDCOLOR,CERTAINTYLEVEL
simulatedControlCondition,75,A00,1,decision,2,2,2,1,1,19072017,130438,halfRandom,2,0,2,1,2,west,east,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,NA
simulatedControlCondition,75,A00,1,confirmation,2,2,2,1,1,19072017,130513,halfRandom,2,0,2,1,3,west,east,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,60
simulatedControlCondition,75,A00,1,decision,2,1,1,2,2,19072017,130601,halfRandom,2,0,2,1,2,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,NA
simulatedControlCondition,75,A00,1,confirmation,2,1,1,2,2,19072017,130635,halfRandom,2,0,2,1,3,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,50
simulatedControlCondition,75,A00,2,decision,6,2,4,3,1,19072017,130727,halfRandom,2,0,2,1,2,west,east,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,NA
simulatedControlCondition,75,A00,2,confirmation,6,2,4,3,1,19072017,130754,halfRandom,2,0,2,1,3,west,east,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,90
simulatedControlCondition,75,A00,2,decision,6,5,7,4,2,19072017,130834,halfRandom,2,0,2,1,2,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,NA
simulatedControlCondition,75,A00,2,confirmation,6,5,7,4,2,19072017,130855,halfRandom,2,0,2,1,3,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,79
simulatedControlCondition,75,A00,2,decision,6,1,3,5,3,19072017,130934,halfRandom,2,0,2,1,2,east,west,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,NA
simulatedControlCondition,75,A00,2,confirmation,6,1,3,5,3,19072017,130957,halfRandom,2,0,2,1,3,east,west,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,70
simulatedControlCondition,75,A00,2,decision,6,6,8,6,4,19072017,131038,halfRandom,2,0,2,1,2,west,east,control,counterclockwise,clockwise,counterclockwise,red,blue,red,NA
simulatedControlCondition,75,A00,2,confirmation,6,6,8,6,4,19072017,131058,halfRandom,2,0,2,1,3,west,east,control,counterclockwise,clockwise,counterclockwise,red,blue,red,43
simulatedControlCondition,75,A00,2,decision,6,4,6,7,5,19072017,131138,halfRandom,2,0,2,1,2,east,west,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,NA
simulatedControlCondition,75,A00,2,confirmation,6,4,6,7,5,19072017,131159,halfRandom,2,0,2,1,3,east,west,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,90
simulatedControlCondition,75,A00,2,decision,6,3,5,8,6,19072017,131242,halfRandom,2,0,2,1,2,west,east,treatment,clockwise,counterclockwise,counterclockwise,red,blue,blue,NA
simulatedControlCondition,75,A00,2,confirmation,6,3,5,8,6,19072017,131303,halfRandom,2,0,2,1,3,west,east,treatment,clockwise,counterclockwise,counterclockwise,red,blue,blue,90
simulatedControlCondition,75,A00,3,decision,6,2,10,9,1,19072017,131733,halfRandom,4,0,4,2,4,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,NA
simulatedControlCondition,75,A00,3,confirmation,6,2,10,9,1,19072017,131810,halfRandom,4,0,4,2,6,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,80
simulatedControlCondition,75,A00,3,decision,6,4,12,10,2,19072017,131926,halfRandom,4,0,4,2,4,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,NA
simulatedControlCondition,75,A00,3,confirmation,6,4,12,10,2,19072017,132007,halfRandom,4,0,4,2,6,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,90
simulatedControlCondition,75,A00,3,decision,6,5,13,11,3,19072017,132125,halfRandom,4,0,4,2,4,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,NA
simulatedControlCondition,75,A00,3,confirmation,6,5,13,11,3,19072017,132204,halfRandom,4,0,4,2,6,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,40
simulatedControlCondition,75,A00,3,decision,6,6,14,12,4,19072017,132317,halfRandom,4,0,4,2,4,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,NA
simulatedControlCondition,75,A00,3,confirmation,6,6,14,12,4,19072017,132355,halfRandom,4,0,4,2,6,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,33
simulatedControlCondition,75,A00,3,decision,6,3,11,13,5,19072017,132507,halfRandom,4,0,4,2,4,west,east,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,NA
simulatedControlCondition,75,A00,3,confirmation,6,3,11,13,5,19072017,132546,halfRandom,4,0,4,2,6,west,east,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,70
simulatedControlCondition,75,A00,3,decision,6,1,9,14,6,19072017,132659,halfRandom,4,0,4,2,4,west,east,treatment,counterclockwise,clockwise,clockwise,blue,red,red,NA
simulatedControlCondition,75,A00,3,confirmation,6,1,9,14,6,19072017,132737,halfRandom,4,0,4,2,6,west,east,treatment,counterclockwise,clockwise,clockwise,blue,red,red,90
simulatedTreatmentCondition1,74,F00,1,decision,2,2,2,1,1,19072017,120155,halfRandom,2,0,2,1,2,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,NA
simulatedTreatmentCondition1,74,F00,1,confirmation,2,2,2,1,1,19072017,120224,halfRandom,2,0,2,1,3,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,52
simulatedTreatmentCondition1,74,F00,1,decision,2,1,1,2,2,19072017,120311,halfRandom,2,0,2,1,2,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,NA
simulatedTreatmentCondition1,74,F00,1,confirmation,2,1,1,2,2,19072017,120339,halfRandom,2,0,2,1,3,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,97
simulatedTreatmentCondition1,74,F00,2,decision,6,3,5,3,1,19072017,120437,halfRandom,2,0,2,1,2,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,NA
simulatedTreatmentCondition1,74,F00,2,confirmation,6,3,5,3,1,19072017,120501,halfRandom,2,0,2,1,3,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,97
simulatedTreatmentCondition1,74,F00,2,decision,6,5,7,4,2,19072017,120604,halfRandom,2,0,2,1,2,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,NA
simulatedTreatmentCondition1,74,F00,2,confirmation,6,5,7,4,2,19072017,120628,halfRandom,2,0,2,1,3,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,71
simulatedTreatmentCondition1,74,F00,2,decision,6,2,4,5,3,19072017,120711,halfRandom,2,0,2,1,2,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,NA
simulatedTreatmentCondition1,74,F00,2,confirmation,6,2,4,5,3,19072017,120735,halfRandom,2,0,2,1,3,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,95
simulatedTreatmentCondition1,74,F00,2,decision,6,1,3,6,4,19072017,120815,halfRandom,2,0,2,1,2,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,NA
simulatedTreatmentCondition1,74,F00,2,confirmation,6,1,3,6,4,19072017,120837,halfRandom,2,0,2,1,3,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,63
simulatedTreatmentCondition1,74,F00,2,decision,6,6,8,7,5,19072017,120918,halfRandom,2,0,2,1,2,east,west,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,NA
simulatedTreatmentCondition1,74,F00,2,confirmation,6,6,8,7,5,19072017,120943,halfRandom,2,0,2,1,3,east,west,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,70
simulatedTreatmentCondition1,74,F00,2,decision,6,4,6,8,6,19072017,121028,halfRandom,2,0,2,1,2,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,NA
simulatedTreatmentCondition1,74,F00,2,confirmation,6,4,6,8,6,19072017,121055,halfRandom,2,0,2,1,3,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,85
simulatedTreatmentCondition1,74,F00,3,decision,6,5,13,9,1,19072017,121536,halfRandom,4,0,4,2,4,east,west,control,clockwise,counterclockwise,clockwise,blue,red,blue,NA
simulatedTreatmentCondition1,74,F00,3,confirmation,6,5,13,9,1,19072017,121621,halfRandom,4,0,4,2,6,east,west,control,clockwise,counterclockwise,clockwise,blue,red,blue,60
simulatedTreatmentCondition1,74,F00,3,decision,6,2,10,10,2,19072017,121739,halfRandom,4,0,4,2,4,east,west,control,clockwise,counterclockwise,clockwise,blue,red,blue,NA
simulatedTreatmentCondition1,74,F00,3,confirmation,6,2,10,10,2,19072017,121820,halfRandom,4,0,4,2,6,east,west,control,clockwise,counterclockwise,clockwise,blue,red,blue,72
simulatedTreatmentCondition1,74,F00,3,decision,6,1,9,11,3,19072017,121937,halfRandom,4,0,4,2,4,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,NA
simulatedTreatmentCondition1,74,F00,3,confirmation,6,1,9,11,3,19072017,122019,halfRandom,4,0,4,2,6,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,70
simulatedTreatmentCondition1,74,F00,3,decision,6,3,11,12,4,19072017,122135,halfRandom,4,0,4,2,4,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,NA
simulatedTreatmentCondition1,74,F00,3,confirmation,6,3,11,12,4,19072017,122217,halfRandom,4,0,4,2,6,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,81
simulatedTreatmentCondition1,74,F00,3,decision,6,4,12,13,5,19072017,122332,halfRandom,4,0,4,2,4,west,east,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,NA
simulatedTreatmentCondition1,74,F00,3,confirmation,6,4,12,13,5,19072017,122414,halfRandom,4,0,4,2,6,west,east,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,84
simulatedTreatmentCondition1,74,F00,3,decision,6,6,14,14,6,19072017,122528,halfRandom,4,0,4,2,4,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,NA
simulatedTreatmentCondition1,74,F00,3,confirmation,6,6,14,14,6,19072017,122613,halfRandom,4,0,4,2,6,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,56
