EXPERIMENTALCONDITION,PARTICIPANTID,COMPUTERID,EXPERIMENT,DPS,BLOCKDP,DP,ABSORDER,RELORDER,DATE,TIME,NTRIAL,TYPETRIAL,LEARNINGMODE,RANDOMORIGIN,RANDOMDESTINATION,ROUTESHOWN,CONTROLROUTE_C,TREATMENTROUTE_T,DIRECTIONSHOWN,CONTROLCOLOR_C,TREATMENTCOLOR_T,COLORSHOWN,WAITING,TRAVEL,JOURNEY
simulatedControlCondition,75,A00,0,1,1,None,None,None,19072017,130202,1,learning,halfRandom,east,west,treatment,clockwise,counterclockwise,counterclockwise,red,blue,blue,5,5,10
simulatedControlCondition,75,A00,0,1,1,None,None,None,19072017,130223,2,learning,halfRandom,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,4,4,8
simulatedControlCondition,75,A00,1,2,2,2,1,1,19072017,130350,1,learning,halfRandom,west,east,treatment,counterclockwise,clockwise,clockwise,blue,red,red,6,6,12
simulatedControlCondition,75,A00,1,2,2,2,1,1,19072017,130413,2,learning,halfRandom,west,east,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,6,4,10
simulatedControlCondition,75,A00,1,2,2,2,1,1,19072017,130504,3,consequence,halfRandom,west,east,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,6,4,10
simulatedControlCondition,75,A00,1,2,1,1,2,2,19072017,130533,1,learning,halfRandom,west,east,control,clockwise,counterclockwise,clockwise,blue,red,blue,4,6,10
simulatedControlCondition,75,A00,1,2,1,1,2,2,19072017,130554,2,learning,halfRandom,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,6,6,12
simulatedControlCondition,75,A00,1,2,1,1,2,2,19072017,130624,3,consequence,halfRandom,west,east,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,6,6,12
simulatedControlCondition,75,A00,2,6,2,4,3,1,19072017,130705,1,learning,halfRandom,west,east,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,9,1,10
simulatedControlCondition,75,A00,2,6,2,4,3,1,19072017,130725,2,learning,halfRandom,west,east,control,counterclockwise,clockwise,counterclockwise,red,blue,red,1,9,10
simulatedControlCondition,75,A00,2,6,2,4,3,1,19072017,130746,3,consequence,halfRandom,west,east,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,9,1,10
simulatedControlCondition,75,A00,2,6,5,7,4,2,19072017,130813,1,learning,halfRandom,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,8,1,9
simulatedControlCondition,75,A00,2,6,5,7,4,2,19072017,130833,2,learning,halfRandom,east,west,treatment,counterclockwise,clockwise,clockwise,blue,red,red,2,8,10
simulatedControlCondition,75,A00,2,6,5,7,4,2,19072017,130851,3,consequence,halfRandom,east,west,control,counterclockwise,clockwise,counterclockwise,blue,red,blue,8,1,9
simulatedControlCondition,75,A00,2,6,1,3,5,3,19072017,130914,1,learning,halfRandom,east,west,control,clockwise,counterclockwise,clockwise,blue,red,blue,4,6,10
simulatedControlCondition,75,A00,2,6,1,3,5,3,19072017,130932,2,learning,halfRandom,east,west,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,6,4,10
simulatedControlCondition,75,A00,2,6,1,3,5,3,19072017,130953,3,consequence,halfRandom,east,west,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,6,4,10
simulatedControlCondition,75,A00,2,6,6,8,6,4,19072017,131017,1,learning,halfRandom,west,east,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,2,8,10
simulatedControlCondition,75,A00,2,6,6,8,6,4,19072017,131036,2,learning,halfRandom,west,east,control,counterclockwise,clockwise,counterclockwise,red,blue,red,7,2,9
simulatedControlCondition,75,A00,2,6,6,8,6,4,19072017,131055,3,consequence,halfRandom,west,east,control,counterclockwise,clockwise,counterclockwise,red,blue,red,7,2,9
simulatedControlCondition,75,A00,2,6,4,6,7,5,19072017,131117,1,learning,halfRandom,east,west,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,8,2,10
simulatedControlCondition,75,A00,2,6,4,6,7,5,19072017,131137,2,learning,halfRandom,east,west,control,clockwise,counterclockwise,clockwise,blue,red,blue,3,8,11
simulatedControlCondition,75,A00,2,6,4,6,7,5,19072017,131157,3,consequence,halfRandom,east,west,treatment,clockwise,counterclockwise,counterclockwise,blue,red,red,8,2,10
simulatedControlCondition,75,A00,2,6,3,5,8,6,19072017,131218,1,learning,halfRandom,west,east,treatment,clockwise,counterclockwise,counterclockwise,red,blue,blue,8,2,10
simulatedControlCondition,75,A00,2,6,3,5,8,6,19072017,131239,2,learning,halfRandom,west,east,control,clockwise,counterclockwise,clockwise,red,blue,red,2,9,11
simulatedControlCondition,75,A00,2,6,3,5,8,6,19072017,131300,3,consequence,halfRandom,west,east,treatment,clockwise,counterclockwise,counterclockwise,red,blue,blue,8,2,10
simulatedControlCondition,75,A00,3,6,2,10,9,1,19072017,131635,1,learning,halfRandom,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,4,4,8
simulatedControlCondition,75,A00,3,6,2,10,9,1,19072017,131653,2,learning,halfRandom,east,west,treatment,clockwise,counterclockwise,counterclockwise,red,blue,blue,4,6,10
simulatedControlCondition,75,A00,3,6,2,10,9,1,19072017,131712,3,learning,halfRandom,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,4,8,12
simulatedControlCondition,75,A00,3,6,2,10,9,1,19072017,131730,4,learning,halfRandom,east,west,treatment,clockwise,counterclockwise,counterclockwise,red,blue,blue,4,6,10
simulatedControlCondition,75,A00,3,6,2,10,9,1,19072017,131752,5,consequence,halfRandom,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,4,8,12
simulatedControlCondition,75,A00,3,6,2,10,9,1,19072017,131808,6,consequence,halfRandom,east,west,control,clockwise,counterclockwise,clockwise,red,blue,red,4,4,8
simulatedControlCondition,75,A00,3,6,4,12,10,2,19072017,131825,1,learning,halfRandom,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,0,6,6
simulatedControlCondition,75,A00,3,6,4,12,10,2,19072017,131844,2,learning,halfRandom,east,west,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,4,6,10
simulatedControlCondition,75,A00,3,6,4,12,10,2,19072017,131906,3,learning,halfRandom,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,8,6,14
simulatedControlCondition,75,A00,3,6,4,12,10,2,19072017,131923,4,learning,halfRandom,east,west,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,4,6,10
simulatedControlCondition,75,A00,3,6,4,12,10,2,19072017,131939,5,consequence,halfRandom,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,0,6,6
simulatedControlCondition,75,A00,3,6,4,12,10,2,19072017,132003,6,consequence,halfRandom,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,8,6,14
simulatedControlCondition,75,A00,3,6,5,13,11,3,19072017,132025,1,learning,halfRandom,east,west,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,4,6,10
simulatedControlCondition,75,A00,3,6,5,13,11,3,19072017,132039,2,learning,halfRandom,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,4,2,6
simulatedControlCondition,75,A00,3,6,5,13,11,3,19072017,132059,3,learning,halfRandom,east,west,treatment,counterclockwise,clockwise,clockwise,red,blue,blue,4,6,10
simulatedControlCondition,75,A00,3,6,5,13,11,3,19072017,132123,4,learning,halfRandom,east,west,control,counterclockwise,clockwise,counterclockwise,red,blue,red,4,10,14
