"PARTICIPANTID","EXPSESSION","COMPUTERID","COUNTRY","EXPERIMENTTYPE","EXPERIMENTALCONDITION","EXPERIMENTSTAGE","EXPERIMENTBLOCK","DP","BLOCKDP","ORDER","BLOCKORDER","STARTINGTIME","ENDINGTIME","DURATION"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","1","2","2","1","1","130413","130438","0:00:25"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","1","2","2","1","1","130504","130513","0:00:09"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","1","1","1","2","2","130554","130601","0:00:07"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","1","1","1","2","2","130624","130635","0:00:11"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","2","4","2","3","1","130725","130727","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","2","4","2","3","1","130746","130754","0:00:08"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","2","7","5","4","2","130833","130834","0:00:01"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","2","7","5","4","2","130851","130855","0:00:04"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","2","3","1","5","3","130932","130934","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","2","3","1","5","3","130953","130957","0:00:04"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","2","8","6","6","4","131036","131038","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","2","8","6","6","4","131055","131058","0:00:03"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","2","6","4","7","5","131137","131138","0:00:01"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","2","6","4","7","5","131157","131159","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","2","5","3","8","6","131239","131242","0:00:03"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","2","5","3","8","6","131300","131303","0:00:03"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","3","10","2","9","1","131730","131733","0:00:03"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","3","10","2","9","1","131808","131810","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","3","12","4","10","2","131923","131926","0:00:03"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","3","12","4","10","2","132003","132007","0:00:04"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","3","13","5","11","3","132123","132125","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","3","13","5","11","3","132200","132204","0:00:04"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","3","14","6","12","4","132315","132317","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","3","14","6","12","4","132351","132355","0:00:04"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","3","11","3","13","5","132505","132507","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","3","11","3","13","5","132543","132546","0:00:03"
"75","23","A00","UK","experienced","simulatedControlCondition","decision","3","9","1","14","6","132657","132659","0:00:02"
"75","23","A00","UK","experienced","simulatedControlCondition","confirmation","3","9","1","14","6","132734","132737","0:00:03"
"75","23","A00","UK","descriptive","descriptiveControl","choice","1","1","1","1","1","132744","132814","0:00:30"
"75","23","A00","UK","descriptive","descriptiveControl","choice","3","13","5","2","2","132814","132823","0:00:09"
"75","23","A00","UK","descriptive","descriptiveControl","choice","2","3","1","3","3","132823","132836","0:00:13"
"75","23","A00","UK","descriptive","descriptiveControl","choice","2","7","5","4","4","132836","132846","0:00:10"
"75","23","A00","UK","descriptive","descriptiveControl","choice","2","6","4","5","5","132846","132855","0:00:09"
"75","23","A00","UK","descriptive","descriptiveControl","choice","3","10","2","6","6","132855","132908","0:00:13"
"75","23","A00","UK","descriptive","descriptiveControl","choice","3","9","1","7","7","132908","132915","0:00:07"
"75","23","A00","UK","descriptive","descriptiveControl","choice","2","5","3","8","8","132915","132923","0:00:08"
"75","23","A00","UK","descriptive","descriptiveControl","choice","1","2","2","9","9","132923","132929","0:00:06"
"75","23","A00","UK","descriptive","descriptiveControl","choice","3","12","4","10","10","132929","132935","0:00:06"
"75","23","A00","UK","descriptive","descriptiveControl","choice","3","11","3","11","11","132935","132940","0:00:05"
"75","23","A00","UK","descriptive","descriptiveControl","choice","2","8","6","12","12","132940","132948","0:00:08"
"75","23","A00","UK","descriptive","descriptiveControl","choice","3","14","6","13","13","132948","133000","0:00:12"
"75","23","A00","UK","descriptive","descriptiveControl","choice","2","4","2","14","14","133000","133006","0:00:06"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","1","2","2","1","1","120131","120155","0:00:24"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","1","2","2","1","1","120217","120224","0:00:07"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","1","1","1","2","2","120308","120311","0:00:03"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","1","1","1","2","2","120330","120339","0:00:09"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","2","5","3","3","1","120434","120437","0:00:03"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","5","3","3","1","120457","120501","0:00:04"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","2","7","5","4","2","120542","120604","0:00:22"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","7","5","4","2","120625","120628","0:00:03"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","2","4","2","5","3","120708","120711","0:00:03"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","4","2","5","3","120730","120735","0:00:05"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","2","3","1","6","4","120813","120815","0:00:02"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","3","1","6","4","120833","120837","0:00:04"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","2","8","6","7","5","120914","120918","0:00:04"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","8","6","7","5","120937","120943","0:00:06"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","2","6","4","8","6","121025","121028","0:00:03"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","confirmation","2","6","4","8","6","121048","121055","0:00:07"
"74","22","F00","UK","experienced","simulatedTreatmentCondition1","decision","3","13","5","9","1","121533","121536","0:00:03"
