TIMESTAMP,LEVEL_OF_STUDY,SUBJECT,FRECUENCIA_DE_USO_DE_TRANSPORTE_PUBLICO,PUBLIC_TRANSPORT_USE,PARTICIPANT_ID
2017/06/23 1:06:54 AM GMT+1,Graduate,Biology,Mas de 5 dias por semana,3,26
2017/06/22 2:13:43 AM GMT+1,Graduate,Engineering,Mas de 5 dias por semana,3,15
2017/06/16 12:55:57 PM GMT+1,Graduate,Engineering,1-2 dias por semana,1,25
2017/06/16 1:56:25 PM GMT+1,Graduate,Engineering,Mas de 5 dias por semana,3,6
2017/06/16 4:57:52 PM GMT+1,Graduate,Engineering,Mas de 5 dias por semana,3,8
2017/06/19 7:51:51 PM GMT+1,Graduate,Engineering,Mas de 5 dias por semana,3,13
2017/06/22 4:14:37 PM GMT+1,Graduate,Engineering,Mas de 5 dias por semana,3,18
2017/06/16 7:09:35 PM GMT+1,Graduate,Engineering,Mas de 5 dias por semana,3,27
2017/06/16 1:48:59 PM GMT+1,Graduate,Engineering,Mas de 5 dias por semana,3,14
NA,Graduate,Psychology,3-4 dias por semana,2,9
2017/06/22 3:05:35 PM GMT+1,Undergraduate,College,Mas de 5 dias por semana,3,19
2017/06/23 2:03:04 AM GMT+1,Undergraduate,College,1-2 dias por semana,1,20
2017/06/22 11:37:11 PM GMT+1,Undergraduate,College,Mas de 5 dias por semana,3,22
2017/06/16 10:23:50 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,2
2017/06/22 2:39:45 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,29
2017/06/23 2:10:53 AM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,36
2017/06/23 2:47:29 AM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,33
2017/06/22 4:05:46 PM GMT+1,Undergraduate,Engineering,1-2 dias por semana,1,16
2017/06/23 12:50:06 AM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,35
2017/06/23 2:10:44 AM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,34
2017/06/16 12:58:41 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,4
2017/06/16 3:07:07 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,10
2017/06/17 5:54:22 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,11
2017/06/16 2:58:25 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,12
2017/06/16 1:18:18 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,1
2017/06/17 5:38:40 PM GMT+1,Undergraduate,Engineering,5 dias a la semana,2,5
2017/06/16 12:56:26 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,7
2017/06/22 11:22:47 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,30
2017/06/16 1:48:18 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,3
2017/06/22 3:37:45 PM GMT+1,Undergraduate,Engineering,Mas de 5 dias por semana,3,17
2017/06/22 11:21:44 PM GMT+1,Undergraduate,English,Mas de 5 dias por semana,3,21
2017/06/23 12:43:24 AM GMT+1,Undergraduate,Astronomy,Mas de 5 dias por semana,3,28
2017/06/23 2:13:31 AM GMT+1,Undergraduate,Education,Mas de 5 dias por semana,3,24
2017/06/22 3:56:47 PM GMT+1,Undergraduate,Psychology,Mas de 5 dias por semana,3,23
NA,Undergraduate,Psychology,3-4 dias por semana,2,32
2017/06/22 2:57:27 PM GMT+1,Undergraduate,Sociology,Mas de 5 dias por semana,3,31
