"PARTICIPANTID","ORIGINPLACE","OTHERORIGINPLACE","ORIGINBOROUGH","OTHERORIGINBOROUGH","DESTINATIONPLACE","OTHERDESTINATIONPLACE","DESTINATIONBOROUGH","OTHERDESTINATIONBOROUGH","BUSROUTE","TRIPSPERWEEKBUSES","DEPARTURETIME","WALKINGTIME","WAITINGTIME","INVEHICLETIME","JOURNEYTIME","REALTIMEINFORMATION","TRIPSPERWEEKMOSTFREQBUSROUTE","REALWAITINGTIMEIMPORTANCE","REALWAITINGTIMERELIABILITYIMPORTANCE","REALINVEHICLETIMEIMPORTANCE","REALINVEHICLETIMERELIABILITYIMPORTANCE","REALJOURNEYTIMEIMPORTANCE"
"75","Home",NA,"Harringay",NA,"Work",NA,"Camden Town",NA,"134 263 214 C2","2","00:09","7","4","10","39","Very Frequently (75% of the trips)","14","80","80","60","80","100"
"74","Home",NA,"Park Royal",NA,"University",NA,"Bloomsbury",NA,"18","9","10:00","15","10","40","70","Occasionally (25% of the trips)","4","96","31","87","79","100"
"73","Home",NA,"Brent Cross",NA,"University",NA,"Fitzrovia",NA,"13","20","10:00","10","6","30","90","Always (100% of the trips)","20","100","50","31","25","67"
"72","Home",NA,"Holborn",NA,"Work",NA,"Tottenham",NA,"390","6","13:00","5","5","15","36","Very Frequently (75% of the trips)","3","84","98","82","62","95"
"71","Home",NA,"Golders Green",NA,"University",NA,"Aldwych",NA,"98","14","09:10","12","7","45","50","Always (100% of the trips)","10","100","100","70","100","100"
"70","Home",NA,"Camden Town",NA,"Work",NA,"Bloomsbury",NA,"29","15","17:20","5","5","40","55","Always (100% of the trips)","10","90","42","36","15","92"
"69","Other","friend's place","Other","warrren street","Other","Chinatown","Westminster",NA,"73","3","14:00","2","5","15","20","Frequently (50% of the trips)","1","70","100","90","100","100"
"68","Home",NA,"Maida Vale",NA,"University",NA,"Kensington",NA,"328","20","09:00","2","5","60","70","Always (100% of the trips)","5","100","100","100","100","100"
"67","Home",NA,"Tottenham",NA,"Other","Mall","Pimlico",NA,"152","5","09:00","5","10","20","30","Always (100% of the trips)","3","100","80","80","80","90"
"66","Work",NA,"Wandsworth",NA,"University",NA,"Westminster",NA,"77","6","16:00","2","5","45","60","Always (100% of the trips)","5","91","97","70","89","76"
"65","Home",NA,"Camden Town",NA,"University",NA,"Bloomsbury",NA,"24","10","18:00","5","7","15","30","Always (100% of the trips)","6","98","77","7","16","86"
"64","Home",NA,"Seven Sisters",NA,"University",NA,"Tottenham",NA,"259","5","06:30","5","5","15","30","Occasionally (25% of the trips)","7","75","97","61","99","86"
"63","Home",NA,"Camden Town",NA,"University",NA,"Soho",NA,"29","20","10:00","1","3","15","30","Always (100% of the trips)","14","100","100","50","50","100"
"62","Home",NA,"Harringay",NA,"University",NA,"Other","central/ euston","29","8","09:00","10","10","50","60","Frequently (50% of the trips)","10","62","70","76","60","74"
"61","Home",NA,"Camden Town",NA,"University",NA,"Bloomsbury",NA,"29","10","13:00","2","5","20","30","Very Frequently (75% of the trips)","8","100","100","75","90","75"
"60","Home",NA,NA,"wembley","Work",NA,NA,"greenford","92","20","01:11","8","6","30","40","Occasionally (25% of the trips)","7","74","72","34","41","86"
"59","Home",NA,"Other","southwark","Other","liverpool station","Other","not sure","388","1","06:05","3","5","15","20","Frequently (50% of the trips)","1","70","100","60","70","100"
"58","Home",NA,"Brunswick Park",NA,"Other","shopping","Chinatown",NA,"19","1","14:00","10","7","20","60","Never (0% of the trips)","1","58","50","74","50","82"
"57","Home",NA,"Angel",NA,"University",NA,"Bloomsbury",NA,"205","8","09:30","10","5","25","40","Frequently (50% of the trips)","4","10","80","60","100","70"
"56","Home",NA,"Camden Town",NA,"Work",NA,"Archway",NA,"134","2","14:00","2","5","15","30","Always (100% of the trips)","2","70","60","70","60","100"
"55","Home",NA,"Lambeth",NA,"University",NA,"Fitzrovia",NA,"Can't remember ","1","09:00","10","6","20","35","Very Frequently (75% of the trips)","1","80","95","85","95","90"
"54","Home",NA,"Lewisham",NA,"Other","Train Station","Elephant and Castle",NA,"453","18","13:20","5","7","30","60","Always (100% of the trips)","5","100","100","100","100","100"
"53","Home",NA,"Hoxton",NA,"University",NA,"King's Cross",NA,"205","4","11:00","10","4","45","60","Always (100% of the trips)","1","53","84","42","86","83"
"52","Home",NA,"Kilburn",NA,"Other","school","Kingsbury",NA,"32","20","08:00","3","5","20","40","Very Frequently (75% of the trips)","15","20","75","70","75","30"
"51","Home",NA,"Camden Town",NA,"Other","Friend's house","South Kensington",NA,"390","3","12:00","10","5","20","45","Always (100% of the trips)","1","100","100","80","80","75"
"50","Work",NA,"Chelsea",NA,"Home",NA,"Angel",NA,"332","6","08:00","7","7","45","15","Very Frequently (75% of the trips)","7","60","63","60","60","37"
"49","Home",NA,"Camden Town",NA,"University",NA,"Bloomsbury",NA,"29","3","10:00","5","7","10","15","Very Frequently (75% of the trips)","1","80","90","80","90","100"
"48","Home",NA,"Camden Town",NA,"University",NA,"Camden Town",NA,"29/350","15","10:00","5","4","18","25","Frequently (50% of the trips)","15","85","90","60","70","60"
"47","Home",NA,"Mill Hill",NA,"University",NA,"Hendon",NA,"186","4","08:00","5","10","30","45","Very Frequently (75% of the trips)","4","60","90","90","80","100"
"46","Home",NA,"Camden Town",NA,"Other","friend's house","Islington",NA,"73","6","19:00","5","4","12","30","Very Frequently (75% of the trips)","2","58","83","61","42","87"
"45","Home",NA,"Harringay",NA,"University",NA,"Camden Town",NA,"102","7","07:30","4","2","10","40","Always (100% of the trips)","5","100","81","85","81","100"
"44","Other","Station","Other","Walthamstow","Home",NA,"South Woodford",NA,"W12","2","19:00","5","5","15","30","Always (100% of the trips)","1","90","95","90","90","90"
"43","Home",NA,"Leyton",NA,"Work",NA,"Marylebone(also St Marylebone)",NA,"55","5","08:00","3","3","40","40","Frequently (50% of the trips)","5","64","57","50","68","100"
"42","Home",NA,"Camden Town",NA,"Work",NA,"Westminster",NA,"168","12","00:30","3","6","20","30","Always (100% of the trips)","10","82","74","94","77","100"
"41","Home",NA,"Stratford",NA,"University",NA,"Holborn",NA,"86","9","10:00","5","4","12","20","Always (100% of the trips)","7","77","97","69","89","94"
"40","Home",NA,"Bloomsbury",NA,"Work",NA,"Other","Prince Regent area","dont remember","2","15:00","10","10","15","30","Very Frequently (75% of the trips)","1","50","100","30","100","60"
"39","Home",NA,"Hackney",NA,"University",NA,"King's Cross",NA,"243","5","08:00","10","6","60","115","Very Frequently (75% of the trips)","12","79","93","100","93","93"
"38","University",NA,"Leytonstone",NA,"Home",NA,"Walthamstow",NA,"55","16","08:00","8","10","30","52","Occasionally (25% of the trips)","8","86","82","41","81","92"
"37","Home",NA,"Camden Town",NA,"Other","Athletics Training","Camden Town",NA,"168","6","06:50","2","6","15","23","Very Frequently (75% of the trips)","6","90","70","60","90","90"
